epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,452.239,1.00554,0.47722,0.79678,0.8964,0.68574,0.76193,0.50935,0.92154,0.47905,0.79565,0.000940625,0.000940625,0.000940625
27,470.267,0.95195,0.45731,0.79097,0.86076,0.67865,0.76958,0.51595,0.88841,0.45157,0.79111,0.00092825,0.00092825,0.00092825
28,485.41,0.93491,0.45484,0.79216,0.86737,0.73373,0.78848,0.53556,0.89094,0.44935,0.79281,0.000915875,0.000915875,0.000915875
29,503.539,0.94683,0.45456,0.78962,0.88734,0.75741,0.79942,0.5452,0.87284,0.44164,0.79177,0.0009035,0.0009035,0.0009035
30,519.069,0.95627,0.45788,0.79188,0.87275,0.72796,0.77393,0.51228,0.9142,0.46979,0.79425,0.000891125,0.000891125,0.000891125
31,537.556,0.95176,0.45226,0.78924,0.9198,0.70594,0.78703,0.50771,0.88601,0.44536,0.7928,0.00087875,0.00087875,0.00087875
32,552.784,0.91116,0.43792,0.78724,0.82569,0.73507,0.77115,0.51242,0.88952,0.46313,0.78973,0.000866375,0.000866375,0.000866375
33,570.832,0.95834,0.45978,0.79155,0.84474,0.69828,0.76155,0.50191,0.93794,0.48071,0.79388,0.000854,0.000854,0.000854
34,586.218,0.91274,0.43934,0.79086,0.90218,0.68875,0.76997,0.53014,0.84957,0.44066,0.79013,0.000841625,0.000841625,0.000841625
35,604.357,0.91814,0.43236,0.78822,0.94675,0.71493,0.78773,0.51723,0.87529,0.4499,0.7891,0.00082925,0.00082925,0.00082925
36,619.388,0.93178,0.43907,0.78749,0.95802,0.73714,0.80916,0.52219,0.95239,0.46452,0.79538,0.000816875,0.000816875,0.000816875
37,637.478,0.9081,0.43207,0.7894,0.90128,0.72812,0.78588,0.52785,0.87315,0.44559,0.79082,0.0008045,0.0008045,0.0008045
38,652.575,0.9004,0.42757,0.78726,0.89317,0.74438,0.80567,0.53544,0.8852,0.43868,0.79079,0.000792125,0.000792125,0.000792125
39,670.487,0.89719,0.42642,0.78683,0.92768,0.75218,0.80893,0.54791,0.86084,0.43659,0.78846,0.00077975,0.00077975,0.00077975
40,685.516,0.8729,0.42258,0.78546,0.93752,0.73062,0.80926,0.55876,0.84179,0.43607,0.78763,0.000767375,0.000767375,0.000767375
41,703.657,0.8902,0.42648,0.78651,0.85653,0.75298,0.79486,0.54691,0.84207,0.44482,0.78757,0.000755,0.000755,0.000755
42,718.906,0.88993,0.42621,0.78864,0.88162,0.70688,0.78715,0.53938,0.9008,0.45776,0.79103,0.000742625,0.000742625,0.000742625
43,734.224,0.90284,0.43696,0.78465,0.84295,0.7384,0.80783,0.55016,0.86807,0.44727,0.7908,0.00073025,0.00073025,0.00073025
44,752.397,0.8846,0.427,0.78616,0.94219,0.7609,0.80466,0.54536,0.81626,0.43665,0.78702,0.000717875,0.000717875,0.000717875
45,767.714,0.88668,0.42762,0.78446,0.92211,0.72736,0.80258,0.55407,0.84853,0.43858,0.78752,0.0007055,0.0007055,0.0007055
46,785.713,0.86438,0.41621,0.78607,0.88503,0.71682,0.77819,0.53066,0.8608,0.43657,0.78893,0.000693125,0.000693125,0.000693125
47,800.871,0.86624,0.41757,0.78589,0.86578,0.72004,0.78846,0.53435,0.8613,0.43676,0.788,0.00068075,0.00068075,0.00068075
48,819.148,0.86462,0.41439,0.78472,0.93608,0.77939,0.80767,0.55472,0.84148,0.42033,0.78833,0.000668375,0.000668375,0.000668375
49,835.051,0.85605,0.41299,0.78613,0.9276,0.75449,0.81186,0.56199,0.79992,0.41225,0.78703,0.000656,0.000656,0.000656
50,853.404,0.86312,0.40961,0.784,0.93099,0.77059,0.8119,0.56304,0.83817,0.42242,0.78691,0.000643625,0.000643625,0.000643625
51,868.956,0.87872,0.41572,0.78553,0.96174,0.72899,0.79739,0.56521,0.84168,0.41855,0.78653,0.00063125,0.00063125,0.00063125
52,887.528,0.86497,0.40517,0.78531,0.86328,0.77233,0.79296,0.56343,0.80403,0.41195,0.78538,0.000618875,0.000618875,0.000618875
53,903.336,0.84749,0.40274,0.78321,0.93761,0.7404,0.80769,0.56617,0.79367,0.40176,0.78592,0.0006065,0.0006065,0.0006065
54,921.602,0.83586,0.39999,0.78254,0.87152,0.75863,0.7943,0.56894,0.79329,0.4102,0.78399,0.000594125,0.000594125,0.000594125
55,937.292,0.8239,0.3942,0.78126,0.96487,0.73521,0.80849,0.56936,0.80199,0.40494,0.78468,0.00058175,0.00058175,0.00058175
56,955.499,0.83566,0.39974,0.78427,0.86778,0.75364,0.79611,0.56078,0.81652,0.4273,0.78549,0.000569375,0.000569375,0.000569375
57,971.083,0.84663,0.40275,0.78198,0.85129,0.7506,0.79719,0.54711,0.84432,0.42242,0.78711,0.000557,0.000557,0.000557
58,989.339,0.82855,0.40251,0.78163,0.85213,0.76387,0.80355,0.5595,0.82582,0.42572,0.78565,0.000544625,0.000544625,0.000544625
59,1004.6,0.82051,0.3967,0.78192,0.93066,0.75207,0.81452,0.55754,0.84,0.42355,0.78602,0.00053225,0.00053225,0.00053225
60,1022.57,0.84642,0.39713,0.78044,0.9343,0.73744,0.80626,0.57139,0.81899,0.41998,0.7859,0.000519875,0.000519875,0.000519875
61,1037.97,0.83504,0.39203,0.77964,0.93344,0.7523,0.81233,0.57234,0.81026,0.41926,0.78432,0.0005075,0.0005075,0.0005075
62,1056.3,0.83121,0.38558,0.78189,0.89956,0.74751,0.8028,0.56181,0.81644,0.41846,0.78481,0.000495125,0.000495125,0.000495125
63,1071.53,0.79657,0.38169,0.77977,0.93287,0.73911,0.82097,0.55496,0.83613,0.4258,0.78584,0.00048275,0.00048275,0.00048275
64,1086.53,0.8125,0.3851,0.7804,0.94775,0.72128,0.80656,0.55287,0.80734,0.40929,0.78425,0.000470375,0.000470375,0.000470375
65,1104.4,0.80467,0.38153,0.78106,0.87889,0.74338,0.80175,0.55306,0.81153,0.41883,0.7854,0.000458,0.000458,0.000458
66,1119.38,0.81342,0.38689,0.77999,0.91092,0.76384,0.80289,0.57043,0.81553,0.41167,0.78599,0.000445625,0.000445625,0.000445625
67,1137.49,0.82115,0.38588,0.78351,0.90428,0.76294,0.81466,0.57473,0.8063,0.4167,0.78414,0.00043325,0.00043325,0.00043325
68,1152.92,0.80771,0.38282,0.77959,0.89373,0.73805,0.81801,0.56882,0.80797,0.4069,0.78453,0.000420875,0.000420875,0.000420875
69,1171.35,0.78595,0.37355,0.78022,0.90651,0.74432,0.80942,0.57002,0.78868,0.40231,0.78326,0.0004085,0.0004085,0.0004085
70,1186.78,0.81518,0.38116,0.78091,0.93484,0.74357,0.82021,0.57746,0.82156,0.41201,0.78535,0.000396125,0.000396125,0.000396125
71,1205.06,0.80088,0.37741,0.77814,0.92232,0.76001,0.81362,0.57787,0.80645,0.40569,0.78442,0.00038375,0.00038375,0.00038375
72,1220.29,0.7971,0.37246,0.77827,0.92788,0.77748,0.84302,0.58045,0.82099,0.40471,0.78346,0.000371375,0.000371375,0.000371375
73,1239.2,0.80546,0.37235,0.77953,0.92267,0.74352,0.80884,0.57283,0.83446,0.41219,0.78543,0.000359,0.000359,0.000359
74,1254.36,0.78361,0.36652,0.77996,0.93098,0.75337,0.81211,0.57953,0.7976,0.39443,0.78355,0.000346625,0.000346625,0.000346625
75,1272.79,0.77386,0.36641,0.77884,0.91453,0.75753,0.81829,0.56854,0.80534,0.40895,0.78271,0.00033425,0.00033425,0.00033425
76,1287.71,0.76582,0.3647,0.77914,0.8691,0.74397,0.80098,0.56593,0.80842,0.40758,0.78295,0.000321875,0.000321875,0.000321875
77,1306.52,0.78329,0.36519,0.77862,0.90952,0.75701,0.82424,0.58018,0.80715,0.40338,0.78446,0.0003095,0.0003095,0.0003095
78,1321.64,0.77562,0.36286,0.77814,0.92392,0.76499,0.81679,0.58314,0.79314,0.39731,0.78326,0.000297125,0.000297125,0.000297125
79,1340.29,0.78003,0.36635,0.77734,0.89886,0.73164,0.80552,0.5645,0.8326,0.40953,0.78538,0.00028475,0.00028475,0.00028475
80,1355.41,0.77835,0.36458,0.77803,0.93279,0.76943,0.82306,0.58252,0.80534,0.39648,0.78393,0.000272375,0.000272375,0.000272375
81,1370.54,0.75341,0.3561,0.778,0.8893,0.7447,0.80736,0.57853,0.79927,0.4015,0.78317,0.00026,0.00026,0.00026
82,1389.29,0.74286,0.35537,0.77599,0.92394,0.78137,0.82562,0.58933,0.78263,0.38731,0.78198,0.000247625,0.000247625,0.000247625
83,1404.63,0.75422,0.36091,0.77861,0.89676,0.76925,0.8114,0.59077,0.7819,0.39104,0.78287,0.00023525,0.00023525,0.00023525
84,1423.29,0.75365,0.35818,0.77618,0.91921,0.76811,0.82201,0.58154,0.79544,0.40024,0.78219,0.000222875,0.000222875,0.000222875
85,1438.34,0.75762,0.3578,0.77494,0.93453,0.7678,0.82001,0.57872,0.82231,0.39788,0.78438,0.0002105,0.0002105,0.0002105
86,1457.07,0.74667,0.35252,0.77751,0.93889,0.76218,0.82788,0.58234,0.81008,0.4034,0.78341,0.000198125,0.000198125,0.000198125
87,1472.2,0.7483,0.35611,0.77632,0.90839,0.74235,0.80526,0.57959,0.79831,0.39426,0.78271,0.00018575,0.00018575,0.00018575
88,1491.02,0.75872,0.35398,0.77614,0.94339,0.76443,0.81755,0.58284,0.79942,0.39205,0.78299,0.000173375,0.000173375,0.000173375
89,1506.19,0.72707,0.34578,0.77499,0.9251,0.76784,0.8229,0.58978,0.78786,0.39035,0.78259,0.000161,0.000161,0.000161
90,1525.08,0.73176,0.34616,0.7765,0.94704,0.77018,0.82654,0.59186,0.79783,0.38871,0.78255,0.000148625,0.000148625,0.000148625
91,1541.72,0.70158,0.34373,0.7753,0.91566,0.76187,0.81764,0.57593,0.80231,0.39237,0.78204,0.00013625,0.00013625,0.00013625
92,1560.68,0.68713,0.33892,0.77658,0.93531,0.74706,0.8211,0.57683,0.80358,0.39002,0.78231,0.000123875,0.000123875,0.000123875
93,1575.31,0.69073,0.33657,0.77745,0.9094,0.75841,0.81874,0.57239,0.80288,0.39458,0.78349,0.0001115,0.0001115,0.0001115
94,1593.59,0.66854,0.32903,0.776,0.94773,0.75842,0.81934,0.57852,0.80047,0.39302,0.78366,9.9125e-05,9.9125e-05,9.9125e-05
95,1608.21,0.67264,0.32849,0.77277,0.92287,0.77386,0.81677,0.57548,0.80107,0.3935,0.78311,8.675e-05,8.675e-05,8.675e-05
96,1626.8,0.66533,0.3268,0.77471,0.9246,0.75991,0.81809,0.57494,0.79974,0.38983,0.78279,7.4375e-05,7.4375e-05,7.4375e-05
97,1641.37,0.65363,0.32287,0.77364,0.91281,0.77488,0.81621,0.5729,0.80905,0.38992,0.78343,6.2e-05,6.2e-05,6.2e-05
98,1656.27,0.64434,0.31908,0.77541,0.91406,0.78079,0.81547,0.57333,0.79393,0.38769,0.78292,4.9625e-05,4.9625e-05,4.9625e-05
99,1675.5,0.66649,0.32495,0.77361,0.91538,0.7784,0.81799,0.57508,0.79592,0.38549,0.78314,3.725e-05,3.725e-05,3.725e-05
100,1687.31,0.65009,0.32056,0.77262,0.90617,0.77871,0.81906,0.57973,0.80402,0.39156,0.78294,2.4875e-05,2.4875e-05,2.4875e-05
