epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7606,1.36992,1.82757,0.84879,0.61636,0.44024,0.43778,0.26271,1.24912,1.02774,0.82251,0.000405983,0.000405983,0.000405983
2,44.2798,1.23367,0.76354,0.8171,0.85143,0.42693,0.52958,0.31342,1.11278,0.67707,0.80636,0.000814505,0.000814505,0.000814505
3,61.2749,1.31659,0.71254,0.81778,0.78755,0.53854,0.62552,0.35474,1.24291,0.65613,0.81224,0.00121478,0.00121478,0.00121478
4,80.8124,1.20909,0.65687,0.81385,0.8321,0.59343,0.67174,0.40562,1.09818,0.60869,0.80877,0.00121287,0.00121287,0.00121287
5,97.1221,1.15068,0.6128,0.80809,0.7293,0.52104,0.60768,0.38444,0.98469,0.57749,0.80206,0.0012005,0.0012005,0.0012005
6,116.411,1.12979,0.61338,0.8061,0.88183,0.61173,0.69282,0.42528,1.05812,0.55071,0.80487,0.00118812,0.00118812,0.00118812
7,132.712,1.15609,0.59321,0.80468,0.87333,0.65558,0.72814,0.44452,1.06036,0.6366,0.80104,0.00117575,0.00117575,0.00117575
8,152.086,1.15276,0.58082,0.80531,0.874,0.64112,0.71845,0.45503,0.98834,0.54576,0.80067,0.00116337,0.00116337,0.00116337
9,167.716,1.09415,0.55245,0.80428,0.84008,0.65347,0.73552,0.47206,1.01578,0.52715,0.80426,0.001151,0.001151,0.001151
10,185.789,1.06195,0.53842,0.7999,0.86478,0.67491,0.73609,0.4835,0.96826,0.51125,0.80036,0.00113863,0.00113863,0.00113863
11,201.031,1.13899,0.581,0.80244,0.75035,0.69664,0.73143,0.47184,0.98494,0.53272,0.79764,0.00112625,0.00112625,0.00112625
12,219.003,1.06397,0.53797,0.80106,0.91237,0.651,0.76072,0.4906,0.94515,0.50481,0.79699,0.00111388,0.00111388,0.00111388
13,234.219,1.03458,0.51144,0.7976,0.83865,0.73042,0.77623,0.51491,0.94804,0.49206,0.79655,0.0011015,0.0011015,0.0011015
14,252.415,1.00818,0.49819,0.79683,0.78902,0.67502,0.75593,0.48689,0.97215,0.51532,0.79905,0.00108913,0.00108913,0.00108913
15,267.547,1.02747,0.51046,0.7972,0.79322,0.71828,0.7549,0.49033,0.96339,0.5125,0.79633,0.00107675,0.00107675,0.00107675
16,285.663,1.01011,0.50063,0.79693,0.91591,0.68474,0.77452,0.51515,0.91308,0.49727,0.79417,0.00106437,0.00106437,0.00106437
17,300.867,1.00309,0.49358,0.79469,0.84465,0.72485,0.76201,0.5036,0.9246,0.50909,0.7993,0.001052,0.001052,0.001052
18,318.8,1.01415,0.49447,0.79318,0.87093,0.69478,0.7615,0.49616,0.89105,0.48562,0.79325,0.00103962,0.00103962,0.00103962
19,333.926,0.99323,0.48212,0.79758,0.81424,0.68179,0.73754,0.48939,0.91688,0.49554,0.79249,0.00102725,0.00102725,0.00102725
20,351.803,1.01251,0.49446,0.7949,0.8427,0.68828,0.76051,0.47732,0.98124,0.50867,0.80019,0.00101488,0.00101488,0.00101488
21,367.272,1.00284,0.49284,0.79618,0.86635,0.73604,0.76378,0.51724,0.90698,0.48082,0.79528,0.0010025,0.0010025,0.0010025
22,382.567,0.97835,0.47378,0.79336,0.91399,0.74824,0.78098,0.524,0.89423,0.45428,0.79339,0.000990125,0.000990125,0.000990125
23,400.805,0.96548,0.47335,0.79297,0.89576,0.67169,0.72297,0.49523,0.8993,0.47672,0.79373,0.00097775,0.00097775,0.00097775
24,416.978,0.95571,0.46371,0.79091,0.84376,0.73451,0.78208,0.48653,0.93317,0.4773,0.79293,0.000965375,0.000965375,0.000965375
25,436.598,0.98869,0.47381,0.79316,0.85445,0.72135,0.78777,0.52356,0.90703,0.46426,0.79273,0.000953,0.000953,0.000953
